iShares Russell 3000 ETF
Fund Holdings as of,"Jul 24, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","50,874,987.45","0.26","50,874,987.45","333,235.00","152.67","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","50,635,914.56","0.26","50,635,914.56","370,579.00","136.64","United States","NASDAQ","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","49,950,398.08","0.26","49,950,398.08","272,536.00","183.28","United States","NASDAQ","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","49,519,393.56","0.25","49,519,393.56","161,133.00","307.32","United States","NYSE","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","49,333,646.57","0.25","49,333,646.57","283,543.00","173.99","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","49,281,862.08","0.25","49,281,862.08","132,528.00","371.86","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","48,646,278.14","0.25","48,646,278.14","472,019.00","103.06","United States","NYSE","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","48,390,382.04","0.25","48,390,382.04","191,972.00","252.07","United States","NYSE","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","47,828,890.44","0.25","47,828,890.44","286,452.00","166.97","United States","NASDAQ","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","47,702,565.80","0.25","47,702,565.80","91,771.00","519.80","United States","NASDAQ","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","47,019,362.52","0.24","47,019,362.52","144,156.00","326.17","United States","NYSE","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","46,325,220.48","0.24","46,325,220.48","300,384.00","154.22","United States","NYSE","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","45,998,713.98","0.24","45,998,713.98","236,826.00","194.23","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","45,690,003.80","0.24","45,690,003.80","481,708.00","94.85","United States","NYSE","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","45,251,022.96","0.23","45,251,022.96","443,768.00","101.97","United States","NYSE","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","44,384,191.14","0.23","44,384,191.14","1,839,378.00","24.13","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","43,847,253.45","0.23","43,847,253.45","41,535.00","1,055.67","United States","NYSE","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","43,616,650.93","0.22","43,616,650.93","337,303.00","129.31","United States","NASDAQ","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","43,341,307.20","0.22","43,341,307.20","206,860.00","209.52","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","42,631,809.42","0.22","42,631,809.42","105,506.00","404.07","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","42,109,961.92","0.22","42,109,961.92","67,037.00","628.16","United States","NYSE","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","39,819,649.38","0.20","39,819,649.38","331,113.00","120.26","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","38,065,147.38","0.20","38,065,147.38","1,551,147.00","24.54","United States","NYSE","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","37,476,928.04","0.19","37,476,928.04","347,846.00","107.74","United States","NYSE","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","37,440,444.30","0.19","37,440,444.30","253,610.00","147.63","United States","NYSE","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","37,299,785.02","0.19","37,299,785.02","210,187.00","177.46","United States","NASDAQ","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","35,746,375.00","0.18","35,746,375.00","81,706.00","437.50","United States","NYSE","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","35,321,264.86","0.18","35,321,264.86","215,821.00","163.66","United States","NYSE","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","35,074,738.86","0.18","35,074,738.86","531,919.00","65.94","United States","NYSE","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","34,426,918.12","0.18","34,426,918.12","554,468.00","62.09","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","34,367,637.00","0.18","34,367,637.00","95,532.00","359.75","United States","NYSE","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","34,333,712.60","0.18","34,333,712.60","169,265.00","202.84","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","34,280,428.00","0.18","34,280,428.00","80,395.00","426.40","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","33,915,576.30","0.17","33,915,576.30","158,610.00","213.83","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","33,845,958.42","0.17","33,845,958.42","34,273.00","987.54","United States","NYSE","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","33,124,248.81","0.17","33,124,248.81","453,819.00","72.99","United States","NYSE","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","33,025,674.24","0.17","33,025,674.24","69,184.00","477.36","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","32,987,024.00","0.17","32,987,024.00","172,256.00","191.50","United States","NYSE","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","32,303,812.50","0.17","32,303,812.50","95,715.00","337.50","United States","NASDAQ","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","32,133,885.60","0.17","32,133,885.60","55,156.00","582.60","United States","NYSE","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","31,962,586.25","0.16","31,962,586.25","309,565.00","103.25","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","31,505,632.48","0.16","31,505,632.48","151,732.00","207.64","United States","NYSE","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","31,479,889.00","0.16","31,479,889.00","214,660.00","146.65","United States","NYSE","USD","1.00","USD","-"
